spot_ticker,spot_last,future_last,fdate,premium,daysleft
eos_usd,18.738,22.05,quarter,0.17675312199807883,52
etc_usd,23.4409,27.28,quarter,0.16377784129448963,52
bch_usd,1650.4786,1898.271,quarter,0.15013366425956692,52
btg_usd,73.0594,83.86,quarter,0.14783313303969103,52
xrp_usd,0.8288,0.947,quarter,0.1426158301158301,52
ltc_usd,164.8001,184.635,quarter,0.12035732988026103,52
eth_usd,758.0,844.04,quarter,0.113509234828496,52
bch_usd,1650.4786,1743.358,next_week,0.056274222519455894,11
eos_usd,18.738,19.713,next_week,0.05203330131284029,11
etc_usd,23.4409,24.607,next_week,0.04974638345797304,11
ltc_usd,164.8001,171.981,next_week,0.043573395889929735,11
eth_usd,758.0,788.103,next_week,0.039713720316622625,11
xrp_usd,0.8288,0.861,next_week,0.03885135135135136,11
btc_usd,9386.99,9659.02,quarter,0.02897947052249983,52
bch_usd,1650.4786,1692.75,this_week,0.02561160138641003,4
etc_usd,23.4409,24.003,this_week,0.02397945471376956,4
btg_usd,73.0594,74.7,this_week,0.022455700430061107,4
eos_usd,18.738,19.15,this_week,0.021987405272707816,4
xrp_usd,0.8288,0.846,this_week,0.020752895752895746,4
eth_usd,758.0,771.309,this_week,0.01755804749340365,4
ltc_usd,164.8001,167.164,this_week,0.014344044694147644,4
btc_usd,9386.99,9513.34,next_week,0.013460118738807687,11
btc_usd,9386.99,9470.0,this_week,0.008843090277074996,4
btg_usd,73.0594,73.52,next_week,0.00630445911135322,11
